puerto rico,18.222808,-66.435966
qatar,25.370318,51.184245
republic of serbia,44.261917,20.914656
republic of the congo,-1.321413,14.884988
romania,45.733316,24.971504
russian federation,62.597942,88.620013
rwanda,-2.077122,29.872522
saint barthelemy,17.901716,-62.82877
saint helena,-15.952026,-5.719336
saint kitts and nevis,17.331021,-62.742186
saint lucia,13.891451,-60.980046
saint martin,18.079886,-63.078031
saint pierre and miquelon,46.887494,-56.315318
saint vincent and the grenadines,13.257651,-61.200924
samoa,-13.642405,-172.478137
san marino,43.933703,12.438934
sao tome and principe,0.234574,6.611849
saudi arabia,23.295582,45.105391
senegal,12.979959,-14.456581
seychelles,-4.609951,55.463002
siachen glacier,35.379151,77.288878
sierra leone,8.557196,-11.79133
singapore,1.355878,103.822324
slovakia,48.793053,19.692059
slovenia,46.063558,14.940281
solomon islands,-9.617074,160.209451
somalia,4.438778,46.191087
somaliland,9.639962,45.793179
south africa,-29.997512,24.682116
south georgia and the sandwich islands,-54.202194,-36.907665
south korea,36.598251,127.858221
south sudan,7.352131,29.695427
spain,40.085967,-2.970021
sri lanka,7.637014,80.793885
state of palestine,31.783333,35.233333
sudan,16.069656,30.212553
suriname,3.748698,-56.028255
swaziland,-26.526535,31.450152
sweden,63.53964,16.051612
switzerland,46.97259,8.210718
syrian arab republic,35.103091,39.050567
taiwan,23.841358,121.029103
tajikistan,38.915426,71.253407
thailand,15.243715,100.62085
the bahamas,24.771288,-78.080087
togo,8.370084,0.808121
tonga,-21.190395,-175.206846
trinidad and tobago,10.42207,-61.417254
tunisia,33.759304,9.521982
turkey,39.131224,35.438643
turkmenistan,39.746337,59.541952
turks and caicos islands,21.816346,-71.740009
tuvalu,-8.501868,179.204544
uganda,1.335563,32.277466
ukraine,49.349177,31.146191
united arab emirates,23.433549,53.976813
united kingdom,53.276027,-2.232055
united republic of tanzania,-6.43986,34.885395
united states minor outlying islands,5.876212,-162.07974
united states of america,39.858648,-99.69866
united states virgin islands,17.736607,-64.726535
uruguay,-32.904358,-55.774756
us naval base guantanamo bay,19.907957,-75.129117
uzbekistan,41.193444,64.56224
vanuatu,-15.614158,166.88509
vatican,41.903694,12.45286
venezuela,6.678854,-66.078262
vietnam,16.310996,107.439062
wallis and futuna,-13.28224,-176.161568
west bank,31.958774,35.219845
western sahara,23.813038,-12.892412
yemen,15.864696,47.850598
zambia,-14.608141,27.82704
zimbabwe,-18.965049,29.131069
